latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.92028,80.4216,332.13,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,303.85,8.63,D
8.92294,80.38815,344.04,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.73,11.59,D
9.02756,80.16605,334.03,0.4,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,300.17,2.26,D
9.02817,80.16972,332.18,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.5,2.67,D
9.05315,80.14268,340.69,0.4,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,302.74,6.08,D
9.05558,80.14168,337.68,0.4,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,302.26,4.72,D
9.08676,79.74698,335.52,0.43,0.46,2026-09-01,750,N,VIIRS,n,2.0NRT,302.37,2.14,D
9.08716,79.74696,339.59,0.43,0.46,2026-09-01,750,N,VIIRS,n,2.0NRT,302.9,6.52,D
9.08741,79.75088,330.38,0.43,0.46,2026-09-01,750,N,VIIRS,l,2.0NRT,301.39,2.14,D
9.10153,80.28739,338.19,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,304.88,3.67,D
9.10582,80.31257,333.64,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,304.01,2.27,D
9.11247,80.27811,336.96,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,306.35,6.48,D
9.24176,80.27779,338.33,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,305.64,7.03,D
9.25795,80.27505,330.46,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,304.59,6.81,D
9.39288,80.43707,367.0,0.38,0.43,2026-09-01,750,N,VIIRS,h,2.0NRT,305.78,11.04,D
9.39346,80.44057,343.24,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,304.09,11.04,D
9.39688,80.43639,348.3,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,303.23,6.2,D
9.40603,80.44202,334.62,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,302.84,1.33,D
9.41327,80.36134,342.93,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,302.94,3.55,D
9.41424,80.36042,332.41,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,302.67,3.02,D
9.41566,80.40079,347.73,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,305.36,4.54,D
9.41568,80.39275,330.74,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,302.54,1.94,D
9.41628,80.39626,342.87,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.93,3.96,D
9.41689,80.39977,342.6,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,305.49,3.96,D
9.41749,80.40327,338.11,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,305.15,4.57,D
9.41908,80.39658,330.1,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,303.87,4.54,D
9.42139,80.41061,337.98,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.28,2.16,D
9.42197,80.41412,333.99,0.38,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.32,2.16,D
9.4227,80.40959,343.88,0.38,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.37,4.15,D
9.4233,80.41309,349.88,0.38,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,304.67,4.15,D
9.4273,80.41241,367.0,0.38,0.44,2026-09-01,750,N,VIIRS,h,2.0NRT,305.8,10.51,D
9.4283,80.39423,333.51,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,304.04,2.36,D
9.44431,80.39148,340.36,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.64,3.35,D
9.53506,80.38695,342.55,0.38,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,304.4,25.84,D
9.57735,78.58523,342.46,0.5,0.49,2026-09-01,750,N,VIIRS,n,2.0NRT,305.45,8.92,D
9.60892,79.98938,345.28,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,302.98,4.83,D
9.63981,80.21948,335.9,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.71,2.34,D
9.64288,80.3102,333.48,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,302.49,4.14,D
9.6828,79.86526,331.06,0.41,0.45,2026-09-01,750,N,VIIRS,l,2.0NRT,302.61,2.81,D
9.77143,78.21916,333.13,0.52,0.5,2026-09-01,750,N,VIIRS,n,2.0NRT,302.84,3.49,D
9.8107,78.22701,330.36,0.52,0.5,2026-09-01,750,N,VIIRS,l,2.0NRT,302.93,3.51,D
9.95757,77.88288,336.99,0.55,0.51,2026-09-01,750,N,VIIRS,n,2.0NRT,305.57,8.44,D
9.95914,77.88472,337.66,0.55,0.51,2026-09-01,750,N,VIIRS,n,2.0NRT,305.78,11.36,D
9.96654,77.89884,339.99,0.55,0.51,2026-09-01,750,N,VIIRS,n,2.0NRT,305.78,6.17,D
9.96955,77.89621,343.87,0.55,0.51,2026-09-01,750,N,VIIRS,n,2.0NRT,306.5,13.59,D
9.99659,77.51824,343.88,0.58,0.52,2026-09-01,750,N,VIIRS,n,2.0NRT,303.84,3.0,D
9.99667,77.52258,334.74,0.58,0.52,2026-09-01,750,N,VIIRS,n,2.0NRT,303.41,8.15,D
10.015,78.08784,345.21,0.53,0.5,2026-09-01,750,N,VIIRS,n,2.0NRT,304.53,8.15,D
10.38719,79.27933,343.55,0.44,0.46,2026-09-01,750,N,VIIRS,n,2.0NRT,305.99,11.34,D
10.44507,78.80642,332.13,0.47,0.48,2026-09-01,750,N,VIIRS,l,2.0NRT,302.64,3.98,D
10.44559,78.8073,332.18,0.47,0.48,2026-09-01,750,N,VIIRS,n,2.0NRT,301.71,5.72,D
10.67588,78.80834,334.64,0.46,0.47,2026-09-01,750,N,VIIRS,l,2.0NRT,305.76,4.1,D
10.74769,78.83463,344.12,0.46,0.47,2026-09-01,750,N,VIIRS,n,2.0NRT,306.06,6.13,D
10.77378,78.65028,335.4,0.47,0.48,2026-09-01,750,N,VIIRS,l,2.0NRT,307.67,5.62,D
10.86091,79.81236,332.03,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,298.78,0.93,D
11.00781,77.43622,332.41,0.56,0.52,2026-09-01,750,N,VIIRS,n,2.0NRT,299.6,7.15,D
11.01218,79.41254,334.72,0.42,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,302.36,1.56,D
11.01958,79.83994,336.41,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.87,2.22,D
11.14795,78.03258,336.34,0.51,0.49,2026-09-01,750,N,VIIRS,n,2.0NRT,300.6,4.53,D
11.69378,79.12559,336.91,0.43,0.46,2026-09-01,750,N,VIIRS,n,2.0NRT,304.65,3.94,D
11.69394,79.12669,334.62,0.43,0.46,2026-09-01,750,N,VIIRS,l,2.0NRT,305.59,5.89,D
11.69813,79.12595,355.18,0.43,0.46,2026-09-01,750,N,VIIRS,n,2.0NRT,304.79,5.89,D
11.83094,79.66526,331.46,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,303.93,1.86,D
12.05853,79.84698,331.63,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,299.32,3.58,D
12.09285,79.56569,341.02,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.15,4.53,D
12.09304,79.56533,342.44,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.39,2.38,D
12.13102,78.14007,332.63,0.49,0.48,2026-09-01,750,N,VIIRS,n,2.0NRT,299.71,8.28,D
12.38799,79.56133,332.27,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.14,2.06,D
12.55496,79.97733,343.27,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,303.72,6.59,D
12.63548,79.86098,334.7,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,302.52,5.87,D
12.6515,79.40098,337.49,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.46,2.19,D
12.65554,79.40025,336.68,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,302.28,2.19,D
12.8083,79.95654,331.11,0.55,0.43,2026-09-01,750,N,VIIRS,l,2.0NRT,302.28,3.64,D
12.82044,79.10441,338.59,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,303.67,5.45,D
12.82455,79.10368,332.39,0.41,0.45,2026-09-01,750,N,VIIRS,l,2.0NRT,304.02,5.9,D
12.88371,78.21547,333.65,0.47,0.47,2026-09-01,750,N,VIIRS,n,2.0NRT,302.7,3.46,D
13.20734,79.73056,330.12,0.56,0.43,2026-09-01,750,N,VIIRS,l,2.0NRT,301.37,3.71,D
13.85649,79.3286,340.87,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,296.39,4.74,D
13.85709,79.33201,344.02,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,298.61,4.74,D
13.86103,79.33105,334.63,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,296.24,4.74,D
14.43501,77.70506,330.81,0.47,0.48,2026-09-01,750,N,VIIRS,n,2.0NRT,296.7,5.22,D
